LC08_L1TP_128033_20190313_20200829_02_T1_B;112;0;0;0;0;0;0;24389;126394;176166;37192870;3916395;38825;335;0;0;0;0;0;0
LC08_L1TP_128033_20190414_20200829_02_T1_B;120;0;0;0;0;0;3133;70505;97085;105384;29811445;11315195;66505;3175;16;0;0;0;0;0
LC08_L1TP_128033_20190516_20200828_02_T1_B;127;0;0;0;0;0;0;2828;45261;129895;15139645;25652619;491562;17915;2017;2;0;0;0;0
LC08_L1TP_128033_20190617_20200827_02_T1_B;138;0;0;0;0;0;34;4750;42539;107568;5194733;32293997;3408931;382365;41137;5878;56;0;0;0
LC08_L1TP_128033_20190703_20200827_02_T1_B;120;0;0;0;0;0;28;21765;76363;95783;1915401;30668116;7260057;1147951;211934;64968;15018;0;0;0
LC08_L1TP_128033_20190820_20200827_02_T1_B;130;0;0;0;0;0;0;1;136;11688;30178612;9120099;1847028;258756;58163;2765;2;0;0;0
LC08_L1TP_128033_20190921_20200826_02_T1_B;117;0;0;0;0;0;23;12648;79890;244572;4703919;32266888;3374647;665117;124065;11656;2;0;0;0
LC08_L1TP_128033_20191023_20200825_02_T1_B;140;0;0;0;0;0;0;103;2233;60680;36922666;4469771;20638;2807;466;0;0;0;0;0
LC08_L1TP_128033_20191108_20200825_02_T1_B;114;0;0;0;0;0;0;481;17297;141584;40177287;1125311;10572;992;4;0;0;0;0;0
LC08_L1TP_128033_20191226_20200824_02_T1_B;139;0;0;0;0;0;12;2083;26223;122399;40851555;476459;3170;41;0;0;0;0;0;0
LC08_L1TP_128033_20200212_20200823_02_T1_B;119;0;0;0;0;0;634;3551;58243;215591;40290114;897870;12276;0;0;0;0;0;0;0
LC08_L1TP_128033_20200228_20200822_02_T1_B;118;0;0;0;0;0;29;14782;95455;162571;39614885;1576607;9908;3;0;0;0;0;0;0
LC08_L1TP_128033_20200315_20200822_02_T1_B;118;0;0;0;0;1;35;15554;107878;124944;39038314;2142834;41142;350;0;0;0;0;0;0
LC08_L1TP_128033_20200416_20200822_02_T1_B;132;0;0;0;0;0;0;634;43594;144066;34447963;6811513;26296;818;5;0;0;0;0;0
LC08_L1TP_128033_20200518_20200820_02_T1_B;126;0;0;0;0;1;94;11447;64228;85980;11118076;28848507;1240894;84054;20330;8863;2675;0;0;0
LC08_L1TP_128033_20200619_20200823_02_T1_B;130;0;0;0;0;0;0;19;4489;60983;13640285;26529267;1155972;80392;6820;539;5;0;0;0
LC08_L1TP_128033_20200721_20200911_02_T1_B;113;0;0;0;0;0;253;1456;25420;140126;3030334;28931524;7004262;1336250;673689;273260;54620;0;0;0
LC08_L1TP_128033_20200822_20200905_02_T1_B;119;0;0;0;0;0;0;0;957;30522;32026920;7672802;1413587;237750;81516;16711;500;0;0;0
LC08_L1TP_128033_20200923_20201006_02_T1_B;130;0;0;0;0;0;0;243;19485;113361;17238358;21347246;2337791;378101;46285;3767;0;0;0;0
LC08_L1TP_128033_20201025_20201106_02_T1_B;114;0;0;0;0;0;0;0;1576;104777;39505867;1850327;11381;1312;16;0;0;0;0;0
LC08_L1TP_128033_20201110_20210316_02_T1_B;121;0;0;0;0;0;12;772;61320;116856;38417393;2845912;27682;1412;2;0;0;0;0;0
LC08_L1TP_128033_20201228_20210310_02_T1_B;122;0;0;0;0;0;715;5242;54470;151340;40803797;464259;3573;2;0;0;0;0;0;0
LC08_L1TP_128033_20210113_20210308_02_T1_B;109;0;0;0;0;0;0;0;10944;143678;41246487;81374;4;0;0;0;0;0;0;0
LC08_L1TP_128033_20210214_20210301_02_T1_B;123;0;0;0;0;0;0;0;1162;76210;41359977;37829;1;0;0;0;0;0;0;0
